slovo, a, b, c, d, e, f
A, 54.11, 35.14, 78.48, 11.41, 108.22, 54.11
C, 2.99, 27.07, 35.7, 18.24, 5.98, 16.076
A, 85.17, 80.11, 16.25, 3.16, 170.34, 85.17
A, 13.3, 21.42, 5.64, 87.86, 26.6, 13.3
B, 77.82, 98.69, 94.28, 98.32, 155.64, 7.545
B, 58.6, 25.19, 12.23, 30.67, 117.2, 6.408
B, 1.29, 62.81, 41.68, 95.58, 2.58, 136.988
B, 51.27, 80.51, 75.37, 74.28, 102.54, 8.125
A, 40.24, 68.61, 16.51, 23.43, 80.48, 40.24
A, 25.72, 52.23, 75.41, 28.04, 51.44, 25.72
C, 35.25, 80.58, 46.81, 55.63, 70.5, 12.33
B, 95.66, 15.23, 36.76, 42.46, 191.32, 5.106
B, 40.16, 62.15, 49.57, 56.61, 80.32, 8.486
C, 88.18, 55.31, 60.35, 77.77, 176.36, 6.017
B, 78.8, 55.13, 42.91, 28.6, 157.6, 6.589
A, 17.89, 92.86, 14.75, 31.18, 35.78, 17.89
C, 7.4, 68.44, 46.11, 38.94, 14.8, 29.992
B, 85.14, 40.29, 45.22, 90.22, 170.28, 5.715
C, 79.92, 66.0, 86.14, 15.61, 159.84, 6.147
B, 73.39, 99.93, 36.16, 59.3, 146.78, 12.224
A, 88.83, 46.55, 98.43, 95.47, 177.66, 88.83
B, 13.45, 37.24, 15.6, 40.7, 26.9, 16.053
B, 43.73, 16.28, 23.78, 41.1, 87.46, 5.395
C, 14.65, 90.55, 23.67, 61.14, 29.3, 49.761
C, 97.47, 12.46, 60.65, 92.77, 194.94, 5.047
A, 81.81, 77.1, 19.26, 6.83, 163.62, 81.81
B, 36.98, 19.25, 47.34, 42.64, 73.96, 5.337
A, 15.82, 91.13, 79.1, 62.75, 31.64, 15.82
A, 31.85, 68.07, 51.85, 89.98, 63.7, 31.85
C, 56.55, 77.58, 67.48, 14.09, 113.1, 7.923
C, 52.45, 94.17, 71.3, 100.23, 104.9, 9.515
A, 62.84, 66.14, 95.55, 49.21, 125.68, 62.84
B, 81.27, 10.79, 9.81, 46.32, 162.54, 5.225
A, 35.71, 73.73, 46.57, 12.89, 71.42, 35.71
A, 29.67, 72.82, 18.0, 91.06, 59.34, 29.67
C, 6.86, 64.12, 79.68, 60.11, 13.72, 18.58
C, 34.62, 55.82, 71.61, 84.83, 69.24, 7.227
B, 84.81, 44.64, 55.08, 35.78, 169.62, 5.734
B, 26.3, 4.16, 91.09, 43.2, 52.6, 5.103
B, 63.7, 89.81, 53.72, 57.87, 127.4, 9.458
C, 66.32, 34.48, 81.12, 8.79, 132.64, 5.37
B, 61.98, 16.9, 34.19, 89.07, 123.96, 5.212
C, 1.73, 77.81, 15.54, 62.79, 3.46, 422.262
A, 88.87, 37.8, 1.77, 8.34, 177.74, 88.87
B, 46.64, 84.92, 97.02, 87.9, 93.28, 7.992
A, 20.99, 33.48, 60.09, 69.73, 41.98, 20.99
A, 29.96, 92.45, 39.57, 47.54, 59.92, 29.96
C, 19.48, 21.83, 4.73, 85.78, 38.96, 13.036
B, 39.56, 62.45, 2.86, 62.79, 79.12, 66.908
A, 96.36, 35.77, 28.33, 43.25, 192.72, 96.36
B, 34.32, 11.07, 23.26, 80.35, 68.64, 5.246
B, 2.72, 22.94, 55.62, 71.64, 5.44, 10.582
B, 60.15, 79.72, 66.09, 71.58, 120.3, 7.974
B, 3.45, 27.12, 42.26, 80.18, 6.9, 13.157
B, 63.06, 33.12, 47.71, 32.9, 126.12, 5.604
A, 35.86, 84.76, 59.78, 63.11, 71.72, 35.86
B, 1.19, 8.17, 16.36, 93.8, 2.38, 10.652
C, 74.35, 86.87, 27.15, 26.07, 148.7, 12.036
C, 35.9, 75.17, 90.98, 32.15, 71.8, 8.193
A, 23.05, 97.39, 2.29, 19.24, 46.1, 23.05
C, 65.37, 14.54, 80.26, 73.92, 130.74, 5.07
C, 83.9, 80.02, 91.82, 97.93, 167.8, 6.548
B, 34.13, 47.37, 90.04, 91.11, 68.26, 6.267
B, 26.94, 35.31, 22.55, 76.77, 53.88, 8.411
C, 37.2, 54.27, 70.37, 55.71, 74.4, 6.986
C, 76.82, 98.9, 69.83, 60.13, 153.64, 8.496
B, 53.11, 46.06, 90.72, 98.95, 106.22, 5.762
C, 54.05, 11.58, 89.02, 35.71, 108.1, 5.056
B, 79.58, 35.55, 2.34, 34.68, 159.16, 16.268
B, 46.45, 86.34, 12.27, 19.84, 92.9, 29.593
B, 75.21, 57.06, 2.33, 15.67, 150.42, 37.949
B, 95.9, 97.28, 71.77, 4.45, 191.8, 7.63
C, 42.9, 56.46, 49.19, 80.33, 85.8, 7.679
C, 40.8, 47.91, 71.57, 39.61, 81.6, 6.365
C, 68.67, 36.76, 2.7, 22.19, 137.34, 17.155
B, 62.83, 21.43, 88.82, 8.4, 125.66, 5.135
A, 44.19, 52.75, 2.18, 73.57, 88.38, 44.19
B, 42.94, 85.11, 98.27, 79.76, 85.88, 8.224
A, 64.85, 66.29, 58.8, 83.49, 129.7, 64.85
B, 57.48, 96.96, 42.25, 100.71, 114.96, 12.4
B, 46.62, 14.98, 97.56, 97.78, 93.24, 5.087
C, 99.3, 96.2, 19.33, 33.52, 198.6, 14.205
A, 13.37, 85.45, 73.79, 50.84, 26.74, 13.37
C, 39.4, 80.36, 27.68, 69.33, 78.8, 16.023
A, 76.07, 6.2, 70.47, 25.89, 152.14, 76.07
B, 7.01, 87.61, 75.85, 10.28, 14.02, 32.211
A, 44.88, 67.58, 23.46, 64.37, 89.76, 44.88
B, 4.97, 78.72, 2.34, 96.14, 9.94, 993.743
B, 93.55, 74.22, 15.33, 72.72, 187.1, 12.071
A, 13.1, 44.89, 96.86, 99.17, 26.2, 13.1
B, 39.62, 8.57, 39.03, 7.06, 79.24, 5.097
A, 87.02, 100.96, 23.52, 44.16, 174.04, 87.02
B, 27.58, 44.1, 22.03, 15.51, 55.16, 10.481
C, 65.31, 53.63, 88.89, 57.27, 130.62, 5.874
B, 17.95, 44.02, 30.99, 46.7, 35.9, 10.966
B, 86.91, 87.65, 53.23, 69.88, 173.82, 8.13
C, 9.7, 53.85, 66.94, 85.47, 19.4, 12.872
B, 52.74, 60.65, 100.38, 80.13, 105.48, 6.246
B, 38.93, 24.11, 23.2, 68.05, 77.86, 6.022
B, 67.73, 25.56, 62.82, 96.58, 135.46, 5.249
B, 5.96, 14.77, 16.68, 19.61, 11.92, 8.331
C, 76.29, 59.18, 81.88, 83.56, 152.58, 6.002
A, 15.05, 97.21, 11.45, 18.13, 30.1, 15.05
B, 81.66, 47.98, 21.66, 14.06, 163.32, 7.255
A, 71.53, 98.45, 58.41, 36.38, 143.06, 71.53
B, 61.51, 70.27, 4.59, 14.09, 123.02, 36.941
B, 58.14, 72.46, 25.38, 26.6, 116.28, 11.528
C, 1.2, 20.21, 94.42, 74.99, 2.4, 10.93
B, 99.05, 3.32, 5.41, 27.93, 198.1, 5.11
A, 75.91, 12.46, 96.98, 98.31, 151.82, 75.91
B, 22.48, 66.31, 29.44, 85.18, 44.96, 17.039
A, 3.59, 96.37, 36.47, 83.5, 7.18, 3.59
A, 33.42, 6.72, 97.13, 2.79, 66.84, 33.42
C, 35.81, 2.09, 55.57, 7.14, 71.62, 5.145
A, 48.56, 54.83, 18.44, 24.99, 97.12, 48.56
C, 61.01, 96.8, 11.65, 3.53, 122.02, 30.191
B, 62.28, 6.53, 59.21, 43.92, 124.56, 5.042
C, 54.54, 18.04, 55.52, 59.64, 109.08, 5.173
A, 85.47, 2.45, 41.97, 94.32, 170.94, 85.47
B, 34.72, 87.85, 88.95, 92.59, 69.44, 9.713
A, 37.79, 71.23, 49.09, 69.28, 75.58, 37.79
A, 93.97, 42.64, 36.75, 93.54, 187.94, 93.97
B, 46.82, 60.77, 74.51, 11.8, 93.64, 6.897
B, 47.81, 79.93, 9.41, 86.03, 95.62, 31.411
A, 94.17, 45.98, 17.49, 47.95, 188.34, 94.17
C, 100.11, 16.98, 23.63, 93.9, 200.22, 5.19
A, 10.84, 90.93, 9.43, 71.54, 21.68, 10.84
C, 56.68, 95.35, 45.16, 34.01, 113.36, 11.774
C, 17.47, 40.02, 64.76, 65.38, 34.94, 1232137.402
A, 51.78, 17.97, 9.28, 75.29, 103.56, 51.78
C, 76.81, 32.55, 43.98, 94.99, 153.62, 5.518
B, 86.39, 83.93, 87.57, 61.03, 172.78, 6.745
A, 96.58, 38.91, 1.04, 36.1, 193.16, 96.58
C, 91.9, 75.36, 57.05, 57.79, 183.8, 6.999
C, 34.06, 51.6, 42.51, 73.25, 68.12, 8.22
C, 25.87, 20.73, 58.17, 73.36, 51.74, 5.458
A, 96.32, 56.96, 17.86, 5.24, 192.64, 96.32
B, 39.93, 82.09, 29.41, 17.51, 79.86, 15.715
C, 56.98, 24.84, 73.13, 1.73, 113.96, 5.241
C, 51.79, 72.57, 46.22, 66.02, 103.58, 9.039
A, 46.53, 19.53, 69.72, 16.46, 93.06, 46.53
B, 58.11, 37.27, 36.83, 30.04, 116.22, 6.089
A, 11.81, 40.29, 77.41, 10.15, 23.62, 11.81
C, 26.39, 27.85, 79.17, 11.63, 52.78, 5.609
A, 27.39, 50.98, 19.54, 59.27, 54.78, 27.39
C, 22.22, 13.28, 62.88, 8.06, 44.44, 5.217
C, 59.81, 45.71, 48.58, 40.7, 119.62, 6.24
C, 78.73, 58.07, 78.25, 60.47, 157.46, 5.975
B, 81.92, 13.6, 11.71, 9.57, 163.84, 5.294
A, 24.3, 45.95, 20.21, 22.04, 48.6, 24.3
C, 18.98, 96.52, 7.59, 42.03, 37.96, 128.517
C, 8.92, 51.48, 28.71, 81.31, 17.84, 23.104
C, 11.28, 8.68, 89.95, 21.13, 22.56, 5.204
C, 92.99, 85.59, 96.45, 93.68, 185.98, 6.535
B, 72.44, 52.33, 99.35, 3.1, 144.88, 5.669
A, 28.17, 99.75, 83.69, 62.99, 56.34, 28.17
C, 85.48, 48.35, 97.26, 89.53, 170.96, 5.49
B, 85.72, 68.75, 48.99, 8.64, 171.44, 7.051
C, 88.74, 13.05, 9.44, 24.48, 177.48, 5.309
C, 39.29, 21.86, 13.41, 66.1, 78.58, 6.419
B, 41.52, 60.71, 52.01, 52.91, 83.04, 8.057
A, 18.06, 22.7, 97.58, 5.88, 36.12, 18.06
A, 22.08, 42.32, 11.23, 15.36, 44.16, 22.08
A, 55.62, 35.51, 73.39, 73.83, 111.24, 55.62
B, 19.69, 94.85, 1.93, 5.46, 39.38, 456.041
C, 91.26, 63.59, 40.57, 67.42, 182.52, 2131236.968
A, 73.27, 4.78, 77.51, 30.8, 146.54, 73.27
C, 8.3, 63.43, 21.14, 76.55, 16.6, 46.286
C, 90.52, 23.32, 19.24, 60.16, 181.04, 5.495
A, 3.57, 87.32, 5.62, 69.62, 7.14, 3.57
B, 36.53, 41.45, 61.25, 52.1, 73.06, 6.308
B, 87.4, 82.48, 27.89, 3.06, 174.8, 10.215
C, 32.75, 63.73, 74.6, 72.19, 65.5, 7.999
A, 4.49, 40.8, 66.44, 17.31, 8.98, 4.49
A, 49.67, 46.87, 90.17, 94.48, 99.34, 49.67
C, 49.66, 43.1, 88.3, 35.84, 99.32, 5.727
A, 66.94, 29.09, 1.69, 27.0, 133.88, 66.94
C, 59.61, 70.09, 38.97, 82.83, 119.22, 8.863
B, 93.4, 94.99, 24.87, 87.94, 186.8, 12.404
A, 13.93, 18.51, 46.38, 51.68, 27.86, 13.93
C, 68.71, 80.79, 24.07, 16.71, 137.42, 12.352
A, 83.38, 15.23, 30.42, 25.04, 166.76, 83.38
B, 19.1, 9.47, 61.96, 16.04, 38.2, 5.161
B, 95.75, 52.38, 8.88, 56.87, 191.5, 10.656
B, 58.54, 70.24, 89.09, 60.52, 117.08, 6.73
C, 25.0, 22.99, 3.85, 4.72, 50.0,
A, 30.85, 45.57, 68.38, 74.76, 61.7,
B, 87.68, 29.08, 58.5, 75.97, 175.36, 5.27
C, 42.2, 78.01, 99.67, 44.93, 84.4, 7.684
C, 13.77, 24.27, 91.6, 86.75, 27.54, 5.764
C, 9.47, 21.36, 78.12, 31.99, 18.94, 6.001
B, 41.97, 18.69, 34.24, 95.71, 83.94, 5.382
C, 93.53, 20.2, 6.46, 94.47, 187.06, 6.047
A, 55.42, 19.88, 32.53, 32.65, 110.84, 55.42
B, 34.55, 86.31, 14.21, 34.58, 69.1, 33.528
C, 12.42, 26.06, 27.8, 94.86, 24.84, 8.153
C, 54.86, 5.11, 22.14, 25.59, 109.72, 5.072
A, 52.36, 21.48, 79.07, 27.73, 104.72, 52.36
B, 69.31, 92.19, 67.15, 44.46, 138.62, 8.467
A, 87.09, 71.85, 91.63, 2.59, 174.18, 87.09
B, 32.18, 92.41, 58.1, 39.82, 64.36, 13.673
C, 96.64, 11.35, 5.74, 41.07, 193.28, 5.352
B, 3.15, 60.61, 48.38, 65.73, 6.3, 48.156
C, 45.97, 89.56, 11.23, 33.21, 91.94, 34.365
C, 81.61, 36.28, 79.15, 4.66, 163.22, 5.343
A, 44.95, 31.83, 89.63, 65.68, 89.9, 44.95
A, 47.79, 79.43, 90.15, 100.62, 95.58, 47.79
B, 76.93, 40.16, 32.47, 59.2, 153.86, 6.093
C, 50.53, 85.97, 66.14, 54.49, 101.06, 9.157
B, 80.14, 36.74, 63.93, 32.73, 160.28, 5.443
A, 85.51, 13.47, 12.15, 71.53, 171.02, 85.51
C, 86.11, 30.46, 57.48, 53.54, 172.22, 5.308
B, 45.49, 16.03, 59.36, 30.27, 90.98, 5.156
C, 45.84, 52.34, 10.93, 86.33, 91.68, 14.582
C, 47.7, 85.07, 54.71, 74.78, 95.4, 10.205
A, 80.53, 52.98, 82.7, , 161.06, 80.53
B, 3.1, 63.16, 79.1, 4.46, 6.2, 34.311
C, 98.89, 61.2, 7.61, 12.76, 197.78, 13.915
B, 8.58, 76.03, 64.48, 15.63, 17.16, 24.308
B, 53.55, 16.73, 64.84, 6.36, 107.1, 5.132
C, 80.04, 6.24, 76.18, 94.62, 160.08, 5.03
B, 98.49, 23.86, 50.83, 49.5, 196.98, 5.183
A, 58.32, 70.43, 57.83, 95.53, 116.64, 58.32
A, 58.94, 88.15, 61.36, 49.07, 117.88, 58.94
B, 22.6, 95.32, 19.35, 15.08, 45.2, 44.616
C, 40.19, 2.35, 5.35, , 80.38, 5.214
C, 45.11, 79.89, 79.51, 35.61, 90.22, 8.312
C, 18.29, 92.13, 99.24, 77.41, 36.58, 13.879
B, 84.68, 98.7, 10.15, 86.03, 169.36, 26.718
C, 87.22, 27.85, 78.82, 5.77, 174.44, 5.185
B, 39.12, 72.99, 41.25, 51.41, 78.24, 11.065
C, 90.08, 69.86, 15.28, 99.55, 180.16, 11.471
A, 26.58, 63.61, 25.97, 60.93, 53.16, 26.58
A, 93.27, 3.85, 97.97, 56.56, 186.54, 93.27
A, 53.26, 87.84, 55.78, 48.48, 106.52, 53.26
C, 59.84, 98.75, 41.26, 52.75, 119.68, 12.57
A, 100.22, 64.19, 31.05, 74.68, 200.44, 100.22
B, 83.58, 30.0, 43.67, 95.91, 167.16, 5.404
C, 3.26, 74.86, 3.9, 1.85, 6.52, 817.122
C, 54.26, 67.22, 20.44, 9.39, 108.52, 12.396
B, 80.86, 96.66, 44.67, 87.28, 161.72, 9.943
B, 58.23, 100.14, 96.79, 72.51, 116.46, 8.418
A, 68.94, 85.39, 100.91, 57.82, 137.88, 68.94
C, 97.85, 16.76, 69.49, 1.38, 195.7, 5.069
, 31.49, 62.93, 46.13, 19.65, 62.98, 31.49
C, 1.93, 85.94, 14.75, 15.31, 3.86, 492.488
C, 96.1, 23.48, 14.25, 74.84, 192.2, 5.637
A, 88.5, 65.31, 74.21, 87.56, 177.0, 88.5
, 99.54, 90.58, 44.16, 17.59, 199.08, 99.54
, 21.14, 72.06, 70.98, 74.04, 42.28, 21.14
A, 79.72, 94.68, 64.87, 84.06, 159.44, 79.72
C, 79.54, 64.17, 90.32, 95.08, 159.08, 6.035
